,Category,Item_Description_PREPROCESSED
2536,Property Services,Commercial Insurance Corporate Services Building and Property Insurance Building and Property Insurance Corning Natural Gas Corp
2537,Property Services,Lease Rent Real Estate First National Nebraska Inc Store Management Base Rent
2538,Agency Fee,Other Agency SMAP Digital Equipment Corp Agency Fees Commissions Production
2539,Passenger Road Transportation,Texas New Mexico Power Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
2540,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Akorn Inc Miscellaneous Company Car Field Only Ground Transportation
2541,Advertising,SMAP Direct Mail Charter Communications Inc Printed Collateral Post Card Mailer Jun
2542,Property Services,Store Management Lease Rent Ddl Electronics Inc Real Estate Base Rent Sep
2543,Property Services,General Contractor Store Construction General Requirements Final Site Clean Baltek Corp
2544,Advertising,Talent Artists Models for Trade Show SMAP Dewey Electronics Corp Jun Trade Show Expenses Events and Promotions
2545,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Akzo Nobel
2546,Property Services,Ameristar International Holdings Corp Base Rent Lease Rent Real Estate Store Management
2547,Property Services,Store Construction Final Site Clean General Contractor General Requirements Franklin Resources Inc
2548,Agency Fee,SMAP Other Agency Production Agency Fees Commissions Coca Cola
2549,Property Services,Store Management Lease Rent Dynamics Corp America Real Estate Base Rent
2550,Advertising,Prototype and Comp Production Packaging Design SMAP Electro Catheter Corp Production Artworking Typesetting
2551,Advertising,Prototype and Comp Production Packaging Design Aug SMAP Electro Catheter Corp Production Artworking Typesetting
2552,Advertising,Artworking Typesetting Production Aquila Distributors Inc SMAP Prototype and Comp Production Packaging Design
2553,Advertising,Talent Artists Models for Trade Show SMAP Delmarva Power Light Trade Show Expenses Events and Promotions
2554,Property Services,Store Management Base Rent Real Estate Lease Rent Fremont Corp
2555,Advertising,Prototype and Comp Production Packaging Design SMAP Aquila Distributors Inc Artworking Typesetting Production
2556,Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John Mar Auto Leasing and Maintenance Other Corporate Services
2557,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Brother Industries Ltd Adr
2558,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Butler Manufacturing Miscellaneous Company Car Field Only Ground Transportation
2559,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Camelot Corp Miscellaneous Company Car Field Only Ground Transportation
2560,Property Services,Store Construction Final Site Clean General Contractor General Requirements May Ealing Corp
2561,Passenger Road Transportation,Brother Industries Ltd Adr Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
2562,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Hornblower Weeks Inc Ground Transportation Miscellaneous Company Car Field Only
2563,Property Services,Store Construction Final Site Clean General Contractor General Requirements Dravo Corp
2564,Property Services,First Republic Corp America Base Rent Lease Rent Facility Management Real Estate
2565,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Texas New Mexico Power
2566,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc
2567,Property Services,Real Estate Store Management Lease Rent Base Rent Apparel America Inc
2568,Advertising,Brundage Story Rose Llc Miscellaneous Printed Materials Miscellaneous Printed Materials SMAP Printed Collateral
2569,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Akorn Inc
2570,Property Services,General Requirements General Contractor Dec Flightsafety International Inc Facility Construction Final Site Clean
2571,Passenger Road Transportation,Metric Capital Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2572,Labour,Computer Data Systems Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Human Resources Corporate Services
2573,Property Services,Fixtures Store Construction Store Fixtures Store Fixtures Bailard Biehl Kaiser Inc Adv
2574,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Metric Capital Corp
2575,Property Services,Real Estate Store Management Lease Rent Base Rent Bancwest Corp
2576,Agency Fee,Production SMAP Agency Fees Commissions Other Agency Central Bancorp Inc
2577,Property Services,General Contractor General Requirements Final Site Clean Alexanders Inc Feb Store Construction
2578,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Alco Standard Corp Miscellaneous Company Car Field Only Ground Transportation
2579,Passenger Road Transportation,Jun Provident Companies Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2580,Advertising,Aquila Distributors Inc Prototype and Comp Production Packaging Design Artworking Typesetting Production SMAP
2581,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Corning Inc
2582,Passenger Road Transportation,Chyron Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
2583,Property Services,Base Rent Store Management Aep Texas Central Real Estate Lease Rent
2584,Property Services,General Contractor Store Construction General Requirements Final Site Clean Feb American States Insurance
2585,Advertising,Elizabethtown Water SMAP National Advertising Media Buy Traditional Newspaper
2586,Property Services,General Requirements General Contractor Colonial Trust Iii Store Construction Final Site Clean
2587,Property Services,Store Construction General Requirements Bell Atlantic Pennsylvania Inc General Contractor Final Site Clean
2588,Property Services,Store Fixtures Store Construction Durco International Inc Fixtures Store Fixtures
2589,Property Services,Caterpillar Inc Base Rent Lease Rent Store Management Real Estate
2590,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Development Corp For Israel Other Corporate Services Auto Passenger Road Transportation Repair and Maintenance
2591,Advertising,Printed Collateral SMAP Direct Mail Post Card Mailer Connecticut Yankee Atomic Power
2592,Advertising,Chem Nut Inc SMAP National Advertising Media Buy Traditional Outdoor Out Home
2593,Advertising,Printed Collateral SMAP Direct Mail Post Card Mailer Jul Boston Inc
2594,Human Resources,Workmen Insurance Dec Corporate Services Fpa Corp Commercial Insurance Workmen Insurance
2595,Passenger Road Transportation,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance Daly John
2596,Advertising,Datum Inc Paid Social Content Production with Influencer Media Buy Social Digital Paid Media SMAP
2597,Logistics,Alabama Power Freight Forwarders Services Other Transportation Services Logistics Supply Chain
2598,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Mar Allis Chalmers Corp Travel and Entertainment Miscellaneous Company Car Field Only
2599,Property Services,Aug Feldt Manufacturing Inc Base Rent Lease Rent Store Management Real Estate
2600,Logistics,Supply Chain Parcel Postage Courier Logistics Transportation Services Associates Corporation North America
2601,Passenger Road Transportation,Butler Manufacturing Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing
2602,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Miscellaneous Company Car Field Only Ground Transportation
2603,Labour,Contingent Labor Temp Labor Corporate Services Chenaur Corp Human Resources Contingent Labor Temp Labor
2604,Property Services,Arabian American Development Final Site Clean General Requirements Store Construction General Contractor
2605,Advertising,SMAP Prototype and Comp Production Packaging Design Production Artworking Typesetting Champion Parts Inc
2606,Advertising,National Advertising Media Buy Traditional Outdoor Out Home Btr Realty Inc SMAP
2607,Property Services,Base Rent Store Management Chiksan Tool Real Estate Lease Rent
2608,Property Services,Real Estate Store Management Lease Rent Base Rent Sep East Coast Electric
2609,Property Services,Colonial Trust Iii Store Construction General Contractor General Requirements Final Site Clean
2610,Property Services,Store Management Lease Rent Anthony Industries Inc Real Estate Base Rent
2611,Advertising,SMAP Talent Artists Models for Trade Show Events and Promotions Trade Show Expenses Brown Stephen
2612,Passenger Road Transportation,Bodell Overcash Anderson Inc Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance
2613,Agency Fee,Production Agency Fees Commissions Other Agency Afa Protective Systems Inc SMAP
2614,Property Services,Base Rent Store Management Systems Inc Real Estate Lease Rent
2615,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Brother Industries Ltd Adr Travel and Entertainment
