,Category,Item_Description,Item_Description_PREPROCESSED
3307,Property Services,2000Feb American Pad & Paper Co Final Site Clean Up General Requirements Store Construction General Contractor,american pad paper final site clean general requirements store construction general contractor
3308,Passenger Road Transportation,Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) Jan 2013 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,brother industries ltd adr miscellaneous company car field only jan miscellaneous company car field only ground transportation travel and entertainment
3309,Advertising,"SMAP Trade Show Expenses Dawson John & Associates Inc  /Il/ Events and Promotions Talent, Artists & Models for Trade Show Apr2017",smap trade show expenses dawson john associates inc events and promotions talent artists models for trade show
3310,Property Services,Lease/Rent Real Estate Mar 2016 Boise Cascade Corp Store Management Base Rent,lease rent real estate mar boise cascade corp store management base rent
3311,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Texas New Mexico Power Co Aug 2008 Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment texas new mexico power aug miscellaneous company car field only ground transportation
3312,Agency Fee,Other Agency 2016Feb SMAP First Wilkow Venture Production Agency Fees & Commissions 3,other agency smap first wilkow venture production agency fees commissions
3313,Property Services,Store Construction General Requirements Everest & Jennings International Ltd General Contractor Final Site Clean Up 2019Jan,store construction general requirements everest jennings international ltd general contractor final site clean
3314,Property Services,General Contractor General Requirements Final Site Clean Up Ealing Corp 2013-Mar  Store Construction,general contractor general requirements final site clean ealing corp store construction
3315,Human Resources,Benefits Human Resources May-2015 Essex Group Inc Corporate Services Retirement and Pension Funds,benefits human resources essex group inc corporate services retirement and pension funds
3316,Labour,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor 2014Feb American Cattle Co,corporate services contingent labor temp labor human resources contingent labor temp labor american cattle
3317,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Butler Manufacturing Co Apr 2000 Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment butler manufacturing apr miscellaneous company car field only ground transportation
3318,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2005-Apr  Fort Howard Corp,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only fort howard corp
3319,Property Services,Commonwealth Edison Co Base Rent 2012Feb Lease/Rent Real Estate Store Management,commonwealth edison base rent lease rent real estate store management
3320,Property Services,Flightsafety International Inc Final Site Clean Up 2018-Jul  General Requirements General Contractor Facility Construction,flightsafety international inc final site clean general requirements general contractor facility construction
3321,Property Services,Ealing Corp 2001Aug Store Construction General Contractor General Requirements Final Site Clean Up,ealing corp store construction general contractor general requirements final site clean
3322,Passenger Road Transportation,Aug 2012 Corning Inc /Ny Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,aug corning inc auto leasing auto leasing and maintenance corporate services other corporate services
3323,Human Resources,Corporate Services Workmen's Insurance Commercial Insurance Workmen's Insurance Jul-2008 Cooper Investment Co Inc                                /Bd,corporate services workmen insurance commercial insurance workmen insurance cooper investment inc
3324,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Ground Transportation Jul 2000 Texas New Mexico Power Co Travel and Entertainment Miscellaneous Company Car (Field Only),miscellaneous company car field only ground transportation jul texas new mexico power travel and entertainment miscellaneous company car field only
3325,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Mar 2014 Akorn Inc,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only mar akorn inc
3326,Passenger Road Transportation,Miscellaneous Company Car (Field Only) 2016Jan Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment cooper laboratories inc stockholders liquidating trust ground transportation miscellaneous company car field only
3327,Labour,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Ames Harry G Jan2000 Corporate Services,human resources contingent labor temp labor contingent labor temp labor ames harry corporate services
3328,Labour,United Magazine Co Contingent Labor/Temp Labor Jul2003 Contingent Labor/Temp Labor Human Resources Corporate Services,united magazine contingent labor temp labor contingent labor temp labor human resources corporate services
3329,Logistics,Supply Chain Freight Forwarders Services Other Logistics Transportation Services 2006Feb Alabama Power Co,supply chain freight forwarders services other logistics transportation services alabama power
3330,Advertising,National Advertising SMAP Media Buy - Traditional Outdoor/Out of Home Jun2002 Arvin Industries Inc,national advertising smap media buy traditional outdoor out home arvin industries inc
3331,Property Services,General Contractor General Requirements Final Site Clean Up Flightsafety International Inc Jul2004 Facility Construction,general contractor general requirements final site clean flightsafety international inc facility construction
3332,Advertising,Digital Paid Media SMAP Media Buy - Mobile or E-Mail Direct E-Messaging Media Buy Feb2018 Aristar Inc,digital paid media smap media buy mobile mail direct messaging media buy aristar inc
3333,Human Resources,Corporate Services Building and Property Insurance Fox Pitt Kelton Inc                                     /Bd Commercial Insurance Building and Property Insurance May-2003,corporate services building and property insurance fox pitt kelton inc commercial insurance building and property insurance
3334,Property Services,Real Estate Store Management Lease/Rent Base Rent Mar 2006 Ametek Inc,real estate store management lease rent base rent mar ametek inc
3335,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Butler Manufacturing Co Aug-2005 Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment butler manufacturing miscellaneous company car field only ground transportation
