Category,Item_Description,Item_Description_PREPROCESSED
Property Services,"Cabrera Capital Markets, Inc. Base Rent May-2004 Lease/Rent Real Estate Facility Management",cabrera capital markets inc base rent lease rent real estate facility management
Property Services,Base Rent Jan2016 Store Management Smith Brown & Groover Inc Real Estate Lease/Rent,base rent store management smith brown groover inc real estate lease rent
Property Services,Atchison Topeka & Santa Fe Railway Co Feb2002 Store Construction General Contractor General Requirements Final Site Clean Up,atchison topeka santa railway store construction general contractor general requirements final site clean
Property Services,Corporate Services Building and Property Insurance Corning Natural Gas Corp Commercial Insurance Building and Property Insurance 2002-May ,corporate services building and property insurance corning natural gas corp commercial insurance building and property insurance
Property Services,Store Construction Final Site Clean Up General Contractor General Requirements Oct 2008 Daiwa Capital Markets America Inc.,store construction final site clean general contractor general requirements oct daiwa capital markets america inc
Advertising,2001-Jan  Champion Parts Inc Prototype and Comp Production/Packaging Design Artworking/Typesetting SMAP Production,champion parts inc prototype and comp production packaging design artworking typesetting smap production
Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance 2009Jun Corning Inc /Ny,corporate services auto leasing other corporate services auto leasing and maintenance corning inc
Property Services,General Requirements General Contractor 2003-Apr  Dravo Corp Store Construction Final Site Clean Up,general requirements general contractor dravo corp store construction final site clean
Passenger Road Transportation,Company Car (Field Only) 2003Nov Travel and Entertainment Akzo Nobel Nv Ground Transportation Company Car (Field Only),company car field only travel and entertainment akzo nobel ground transportation company car field only
Advertising,Chesapeake Systems Corp Post Card/Mailer 2018-Mar  Direct Mail Printed Collateral SMAP,chesapeake systems corp post card mailer direct mail printed collateral smap
Property Services,Ampex Corp Final Site Clean Up Mar2009 General Requirements General Contractor Store Construction,ampex corp final site clean general requirements general contractor store construction
Passenger Road Transportation,Daly John J Auto Passenger Road Transportation Repair and Maintenance 2007-Jul  Auto Leasing and Maintenance Other Corporate Services Corporate Services,daly john auto passenger road transportation repair and maintenance auto leasing and maintenance other corporate services corporate services
Property Services,Store Construction Final Site Clean Up General Contractor General Requirements 2010Apr Asia Supernet Corp,store construction final site clean general contractor general requirements asia supernet corp
Advertising,SMAP Post Card/Mailer Printed Collateral Direct Mail 2006Sep Boston Co Inc,smap post card mailer printed collateral direct mail boston inc
Property Services,Base Rent Store Management Eqt Corp 2019Apr Lease/Rent Real Estate,base rent store management eqt corp lease rent real estate
Human Resources,Commercial Insurance Corporate Services Workmen's Insurance Workmen's Insurance Dec 2004 Cooper Investment Co Inc                                /Bd,commercial insurance corporate services workmen insurance workmen insurance dec cooper investment inc
Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny 2012May Corporate Services,other corporate services auto leasing and maintenance auto leasing corning inc corporate services
Property Services,Final Site Clean Up Store Construction Boston Co Of Southern California Mar2016 General Requirements General Contractor,final site clean store construction boston southern california general requirements general contractor
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Jun2014 Akzo Nobel Nv,travel and entertainment company car field only ground transportation company car field only akzo nobel
Advertising,"Printed Collateral SMAP Printed Materials Printed Materials Sep 2001 Cameron, Murphy & Spangler, Inc.",printed collateral smap printed materials printed materials sep cameron murphy spangler inc
Advertising,SMAP Media Buy - Traditional Ecolab Inc. National Advertising Magazines Jun2009,smap media buy traditional ecolab inc national advertising magazines
Agency Fee,Public Relations Agency SMAP Cedar Point Inc 2005Mar Agency Fees & Commissions Events and Promotions,public relations agency smap cedar point inc agency fees commissions events and promotions
Property Services,Oct 2013 Book Corp Of America Final Site Clean Up General Requirements Store Construction General Contractor,oct book corp america final site clean general requirements store construction general contractor
Passenger Road Transportation,Bluefield Gas Co Outdoor/Out of Home Nov 2011 Media Buy - Traditional National Advertising SMAP,bluefield gas outdoor out home nov media buy traditional national advertising smap
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Texas New Mexico Power Co Ground Transportation Company Car (Field Only) Dec-2009,travel and entertainment company car field only texas new mexico power ground transportation company car field only
