Category,Item_Description,UNSPSC_Segment_Code
Building and Facility Construction and Maintenance Services,Store Construction Final Site Clean Up General Contractor General Requirements Sep 2011 Brush Wellman Inc,72000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Feb-2011 Brother Industries Ltd/Adr/,78000000
Management and Business Professionals and Administrative Services,Ami Industries Inc Base Rent 2018-Mar  Lease/Rent Real Estate Store Management,80000000
Management and Business Professionals and Administrative Services,Facility Management Base Rent Real Estate Lease/Rent 2001Aug Fidelity Management & Research Co/Ma/,80000000
Management and Business Professionals and Administrative Services,"Store Management Lease/Rent Alpha Appalachia Holdings, Inc. Real Estate Base Rent 2011-Nov ",80000000
Advertising,Production Agency Fees & Commissions 3 Other Agency Digital Equipment Corp 2007-Nov  SMAP,82100000
Editorial and Design and Graphic and Fine Art Services,"SMAP Digital/Social Hornblower & Weeks, Inc. Production Digital Display May-2000",82000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Nov2004 Brother Industries Ltd/Adr/,78000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Aug2019 American Pad & Paper Co,72000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Farm Fish Inc May 2002 Lease/Rent Real Estate,80000000
Management and Business Professionals and Administrative Services,Elk Horn Coal Corp Contingent Labor/Temp Labor Apr2012 Contingent Labor/Temp Labor Human Resources Corporate Services,80000000
Transportation and Storage and Mail Services,Mar 2004 Corning Inc /Ny Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,78000000
Building and Facility Construction and Maintenance Services,Store Construction Final Site Clean Up General Contractor General Requirements May-2016 American Pad & Paper Co,72000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2010-Mar  Akzo Nobel Nv,78000000
Engineering and Research and Technology Based Services,Friedman Samuel 2018Feb Information Technology Managed Services IT Managed Services IT Managed Services,81000000
Management and Business Professionals and Administrative Services,Anheuser Busch Inc Oct2005 Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,80000000
Building and Facility Construction and Maintenance Services,Facility Construction General Requirements Church Loans & Investments Trust General Contractor Final Site Clean Up Jul 2017,72000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Customedix Corp Sep 2014 Lease/Rent Real Estate,80000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Baldwin & Lyons Inc Real Estate Base Rent Jun 2005,80000000
Financial and Insurance Services,Workmen's Insurance 2005Aug Corporate Services Cencor Inc Commercial Insurance Workmen's Insurance,84000000
Transportation and Storage and Mail Services,Aeire Corp Feb 2005 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing and Maintenance Corning Inc /Ny Other Corporate Services Auto Leasing 2008Apr,78000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Erly Industries Inc 2008-May  Store Construction,72000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Metric Capital Corp                                     /Bd Feb2000 Travel and Entertainment,78000000
Management and Business Professionals and Administrative Services,"Events and Promotions SMAP Trade Show Expenses Talent, Artists & Models for Trade Show 2008Dec Dewey Electronics Corp",80000000
Management and Business Professionals and Administrative Services,Feb2003 Lynton Group Inc Base Rent Lease/Rent Store Management Real Estate,80000000
Building and Facility Construction and Maintenance Services,Store Construction Final Site Clean Up General Contractor General Requirements Jan 2009 El Paso Electric Co /Tx/,72000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent Arrow Electronics Inc Nov2014 Store Management,80000000
Transportation and Storage and Mail Services,"Supply Chain Freight Forwarders Services Other Logistics Transportation Services 2015Oct First Southwest Company, Llc",78000000
Editorial and Design and Graphic and Fine Art Services,2006Feb Burns John F Magazines Media Buy - Traditional SMAP National Advertising,82000000
Organizations and Clubs,Non-Procurable Charity Organizations Continental Assurance Co Charity Organizations Charity Organizations Feb 2015,94000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Allis Chalmers Corp Ground Transportation Miscellaneous Company Car (Field Only) Mar-2019,78000000
Management and Business Professionals and Administrative Services,"Events and Promotions SMAP Trade Show Expenses Talent, Artists & Models for Trade Show 2006Dec Sprint Florida Inc",80000000
Transportation and Storage and Mail Services,"Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Hornblower & Weeks, Inc. 2013-May  Travel and Entertainment",78000000
Management and Business Professionals and Administrative Services,"SMAP Trade Show Expenses Brennan Thomas M Events and Promotions Talent, Artists & Models for Trade Show Dec-2009",80000000
Editorial and Design and Graphic and Fine Art Services,National Advertising Media Buy - Traditional Outdoor/Out of Home Bluefield Gas Co Jul-2003 SMAP,82000000
Transportation and Storage and Mail Services,Cooper Laboratories Inc Stockholders Liquidating Trust 2011-Oct  Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Building and Facility Construction and Maintenance Services,Store Fixtures Fixtures Oct2001 Washington Security Life Insurance Co Store Construction Store Fixtures,72000000
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor 2014Jan Beneficial Corp,80000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) Nov 2003,78000000
Financial and Insurance Services,Commercial Insurance Corporate Services Building and Property Insurance Building and Property Insurance Mar-2006 Federal Screw Works,84000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2011Mar Daly John J,78000000
Building and Facility Construction and Maintenance Services,Feb2018 Colonial Trust Iii Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Advertising,Production SMAP Agency Fees & Commissions 3 Other Agency Dec2018 Agnico Eagle Mines Ltd,82100000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Aug-2014 Travel and Entertainment Composite Equity Series Inc Ground Transportation Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Mar2005 Corning Inc /Ny,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Ground Transportation 2006-Jul  Fortune National Corp Travel and Entertainment Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John J Aug2011 Auto Leasing and Maintenance Other Corporate Services,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Fort Howard Corp Ground Transportation Miscellaneous Company Car (Field Only) Sep2001,78000000
Building and Facility Construction and Maintenance Services,Electronics Missiles & Communications Inc Final Site Clean Up Aug2001 General Requirements General Contractor Store Construction,72000000
Transportation and Storage and Mail Services,Butler Manufacturing Co 2013Feb Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Building and Facility Construction and Maintenance Services,Jul-2018 El Paso Electric Co /Tx/ Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Editorial and Design and Graphic and Fine Art Services,Nov-2007 Cgg Holding (U.S.) Inc. Outdoor/Out of Home Media Buy - Traditional SMAP National Advertising,82000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Jul2019 Metric Capital Corp                                     /Bd,78000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Nov 2012 Travel and Entertainment,78000000
